Nama,Masuk,Keluar,Duration,Coba
GetByNameJSON,14:39:20,14:39:20,9.084,23
GetByNameJSON,14:39:22,14:39:22,8.694,24
GetByNameJSON,14:39:23,14:39:23,9.784,25
GetByNameJSON,14:39:24,14:39:24,9.657,26
GetByNameJSON,14:39:26,14:39:26,10.469,27
GetByNameJSON,14:39:27,14:39:27,8.851,28
GetByNameJSON,14:39:29,14:39:29,10.325,29
GetByNameJSON,14:39:30,14:39:30,9.871,30
GetByNamePostgreSQL,15:02:18,15:02:18,5.344,1
GetByNamePostgreSQL,15:02:20,15:02:20,5.442,2
GetByNamePostgreSQL,15:02:21,15:02:21,5.281,3
GetByNamePostgreSQL,15:02:23,15:02:23,5.723,4
GetByNamePostgreSQL,15:02:24,15:02:24,4.999,5
GetByNamePostgreSQL,15:02:26,15:02:26,5.157,6
GetByNamePostgreSQL,15:02:27,15:02:27,5.503,7
GetByNamePostgreSQL,15:02:28,15:02:28,4.913,8
GetByNamePostgreSQL,15:02:30,15:02:30,5.915,9
GetByNamePostgreSQL,15:02:31,15:02:31,5.099,10
GetByNamePostgreSQL,15:02:32,15:02:32,5.536,11
GetByNamePostgreSQL,15:02:34,15:02:34,4.859,12
GetByNamePostgreSQL,15:02:35,15:02:35,5.755,13
GetByNamePostgreSQL,15:02:36,15:02:36,5.187,14
GetByNamePostgreSQL,15:02:38,15:02:38,4.887,15
GetByNamePostgreSQL,15:02:39,15:02:39,4.947,16
GetByNamePostgreSQL,15:02:40,15:02:40,4.698,17
GetByNamePostgreSQL,15:02:41,15:02:41,5.434,18
GetByNamePostgreSQL,15:02:43,15:02:43,4.834,19
GetByNamePostgreSQL,15:02:44,15:02:44,4.535,20
GetByNamePostgreSQL,15:02:45,15:02:45,5.544,21
GetByNamePostgreSQL,15:02:46,15:02:46,5.700,22
GetByNamePostgreSQL,15:02:47,15:02:47,5.986,23
GetByNamePostgreSQL,15:02:49,15:02:49,5.621,24
GetByNamePostgreSQL,15:02:50,15:02:50,4.993,25
GetByNamePostgreSQL,15:02:51,15:02:51,5.775,26
GetByNamePostgreSQL,15:02:53,15:02:53,6.664,27
GetByNamePostgreSQL,15:02:54,15:02:54,5.112,28
GetByNamePostgreSQL,15:02:55,15:02:55,5.275,29
GetByNamePostgreSQL,15:02:56,15:02:56,5.740,30
InsertJSON,14:37:51,14:37:51,2.783,1
InsertJSON,15:08:13,15:08:13,2.502,2
InsertJSON,15:11:02,15:11:02,4.094,3
InsertJSON,15:19:08,15:19:08,2.172,4
InsertJSON,15:19:16,15:19:16,2.668,5
InsertJSON,15:19:23,15:19:23,3.296,6
InsertJSON,15:19:34,15:19:34,2.681,7
InsertJSON,15:19:42,15:19:42,3.298,8
InsertJSON,15:19:49,15:19:49,2.727,9
InsertJSON,16:16:23,16:16:23,3.362,10
InsertJSON,16:16:30,16:16:30,4.369,11
InsertJSON,16:16:38,16:16:38,2.811,12
InsertJSON,16:18:11,16:18:11,2.788,13
InsertJSON,16:18:18,16:18:18,2.213,14
